effrontery	[ih-fruhn-tuh-ree]	nerve
largess	[lahr-jes]	donation
probity	[proh-bi-tee]	integrity
equipoise	[ee-kwuh-poiz]	balance
interstice	[in-tur-stis]	opening
acumen	[uh-kyoo-muh n)	guile
dearth	[durth]	absence
maelstrom	[meyl-struh m]	chaos
calumny	[kal-uh m-nee]	defamation
peccadillo	[pek-uh-dil-oh]	indiscretion
misanthrope	[mis-uh n-throhp]	cynic
tyro	[tahy-roh]	beginner
chicanery	[shi-key-nuh-ree]	dishonesty
imprecation	[im-pri-key-shuh n]	curse
encomium	[en-koh-mee-uh m] 	compliment
caprice	[kuh-prees]	fickleness
precipice	[pres-uh-pis]	cliff
quiescence	[kwee-es-uh ns]	calm
torpor	[tawr-per]	apathy
magnanimity	[mag-nuh-nim-i-tee]	generosity
diatribe	[dahy-uh-trahyb]	tirade
vim	[vim]	activity
turpitude	[tur-pi-tood] 	depravity
iconoclast	[ahy-kon-uh-klast]	critic
depredation	[dep-ri-dey-shuh n]	plunder
